header:
  x % 601   x % 443    x % 41    x % 37    x % 29    x % 23    x % 19    x % 17    x % 13         x

wanted outputs:
      564       375        14         0        21         9         8        14        10         ? 

        1         1         1         1         1         1         1         1         1         1 
        2         2         2         2         2         2         2         2         2         2 
        3         3         3         3         3         3         3         3         3         3 
        4         4         4         4         4         4         4         4         4         4 
        5         5         5         5         5         5         5         5         5         5 
        6         6         6         6         6         6         6         6         6         6 
        7         7         7         7         7         7         7         7         7         7 
        8         8         8         8         8         8         8         8         8         8 
        9         9         9         9         9         9         9         9         9         9 
       10        10        10        10        10        10        10        10        10        10 
       11        11        11        11        11        11        11        11        11        11 
       12        12        12        12        12        12        12        12        12        12 
       13        13        13        13        13        13        13        13         0        13 
       14        14        14        14        14        14        14        14         1        14 
       15        15        15        15        15        15        15        15         2        15 
       16        16        16        16        16        16        16        16         3        16 
       17        17        17        17        17        17        17         0         4        17 
       18        18        18        18        18        18        18         1         5        18 
       19        19        19        19        19        19         0         2         6        19 
       20        20        20        20        20        20         1         3         7        20 
       21        21        21        21        21        21         2         4         8        21 
       22        22        22        22        22        22         3         5         9        22 
       23        23        23        23        23         0         4         6        10        23 
       24        24        24        24        24         1         5         7        11        24 
       25        25        25        25        25         2         6         8        12        25 
       26        26        26        26        26         3         7         9         0        26 
       27        27        27        27        27         4         8        10         1        27 
       28        28        28        28        28         5         9        11         2        28 
       29        29        29        29         0         6        10        12         3        29 
       30        30        30        30         1         7        11        13         4        30 
       31        31        31        31         2         8        12        14         5        31 
       32        32        32        32         3         9        13        15         6        32 
       33        33        33        33         4        10        14        16         7        33 
       34        34        34        34         5        11        15         0         8        34 
       35        35        35        35         6        12        16         1         9        35 
       36        36        36        36         7        13        17         2        10        36 
       37        37        37         0         8        14        18         3        11        37 
       38        38        38         1         9        15         0         4        12        38 
       39        39        39         2        10        16         1         5         0        39 
       40        40        40         3        11        17         2         6         1        40 
       41        41         0         4        12        18         3         7         2        41 
       42        42         1         5        13        19         4         8         3        42 
       43        43         2         6        14        20         5         9         4        43 
       44        44         3         7        15        21         6        10         5        44 
       45        45         4         8        16        22         7        11         6        45 
       46        46         5         9        17         0         8        12         7        46 
       47        47         6        10        18         1         9        13         8        47 
       48        48         7        11        19         2        10        14         9        48 
       49        49         8        12        20         3        11        15        10        49 
       50        50         9        13        21         4        12        16        11        50 
       51        51        10        14        22         5        13         0        12        51 
       52        52        11        15        23         6        14         1         0        52 
       53        53        12        16        24         7        15         2         1        53 
       54        54        13        17        25         8        16         3         2        54 
       55        55        14        18        26         9        17         4         3        55 
       56        56        15        19        27        10        18         5         4        56 
       57        57        16        20        28        11         0         6         5        57 
       58        58        17        21         0        12         1         7         6        58 
       59        59        18        22         1        13         2         8         7        59 
       60        60        19        23         2        14         3         9         8        60 
       61        61        20        24         3        15         4        10         9        61 
       62        62        21        25         4        16         5        11        10        62 
       63        63        22        26         5        17         6        12        11        63 
       64        64        23        27         6        18         7        13        12        64 
       65        65        24        28         7        19         8        14         0        65 
       66        66        25        29         8        20         9        15         1        66 
       67        67        26        30         9        21        10        16         2        67 
       68        68        27        31        10        22        11         0         3        68 
       69        69        28        32        11         0        12         1         4        69 
       70        70        29        33        12         1        13         2         5        70 
       71        71        30        34        13         2        14         3         6        71 
       72        72        31        35        14         3        15         4         7        72 
       73        73        32        36        15         4        16         5         8        73 
       74        74        33         0        16         5        17         6         9        74 
       75        75        34         1        17         6        18         7        10        75 
       76        76        35         2        18         7         0         8        11        76 
       77        77        36         3        19         8         1         9        12        77 
       78        78        37         4        20         9         2        10         0        78 
       79        79        38         5        21        10         3        11         1        79 
       80        80        39         6        22        11         4        12         2        80 
       81        81        40         7        23        12         5        13         3        81 
       82        82         0         8        24        13         6        14         4        82 
       83        83         1         9        25        14         7        15         5        83 
       84        84         2        10        26        15         8        16         6        84 
       85        85         3        11        27        16         9         0         7        85 
       86        86         4        12        28        17        10         1         8        86 
       87        87         5        13         0        18        11         2         9        87 
       88        88         6        14         1        19        12         3        10        88 
       89        89         7        15         2        20        13         4        11        89 
       90        90         8        16         3        21        14         5        12        90 
       91        91         9        17         4        22        15         6         0        91 
       92        92        10        18         5         0        16         7         1        92 
       93        93        11        19         6         1        17         8         2        93 
       94        94        12        20         7         2        18         9         3        94 
       95        95        13        21         8         3         0        10         4        95 
       96        96        14        22         9         4         1        11         5        96 
       97        97        15        23        10         5         2        12         6        97 
       98        98        16        24        11         6         3        13         7        98 
       99        99        17        25        12         7         4        14         8        99 
      100       100        18        26        13         8         5        15         9       100 
      101       101        19        27        14         9         6        16        10       101 
      102       102        20        28        15        10         7         0        11       102 
      103       103        21        29        16        11         8         1        12       103 
      104       104        22        30        17        12         9         2         0       104 
      105       105        23        31        18        13        10         3         1       105 
      106       106        24        32        19        14        11         4         2       106 
      107       107        25        33        20        15        12         5         3       107 
      108       108        26        34        21        16        13         6         4       108 
      109       109        27        35        22        17        14         7         5       109 
      110       110        28        36        23        18        15         8         6       110 
      111       111        29         0        24        19        16         9         7       111 
      112       112        30         1        25        20        17        10         8       112 
      113       113        31         2        26        21        18        11         9       113 
      114       114        32         3        27        22         0        12        10       114 
      115       115        33         4        28         0         1        13        11       115 
      116       116        34         5         0         1         2        14        12       116 
      117       117        35         6         1         2         3        15         0       117 
      118       118        36         7         2         3         4        16         1       118 
